Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Friedman with N=1000
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: 1841.433 | lengthscale: 1.010 | outputscale: 1.010 | noise: 0.202
Iter  10 | Loss: 1774.403 | lengthscale: 1.115 | outputscale: 1.113 | noise: 0.223
Iter  20 | Loss: 1740.154 | lengthscale: 1.227 | outputscale: 1.212 | noise: 0.242
Iter  30 | Loss: 1726.786 | lengthscale: 1.347 | outputscale: 1.290 | noise: 0.257
Iter  40 | Loss: 1722.151 | lengthscale: 1.482 | outputscale: 1.337 | noise: 0.266
Iter  50 | Loss: 1718.719 | lengthscale: 1.643 | outputscale: 1.355 | noise: 0.268
Iter  60 | Loss: 1713.406 | lengthscale: 1.845 | outputscale: 1.353 | noise: 0.266
Iter  70 | Loss: 1704.676 | lengthscale: 2.110 | outputscale: 1.341 | noise: 0.260
Iter  80 | Loss: 1690.049 | lengthscale: 2.463 | outputscale: 1.326 | noise: 0.253
Iter  90 | Loss: 1664.802 | lengthscale: 2.937 | outputscale: 1.310 | noise: 0.243
Iter 100 | Loss: 1621.953 | lengthscale: 3.564 | outputscale: 1.288 | noise: 0.230
Iter 110 | Loss: 1553.525 | lengthscale: 4.377 | outputscale: 1.256 | noise: 0.212
Iter 120 | Loss: 1451.990 | lengthscale: 5.417 | outputscale: 1.207 | noise: 0.191
Iter 130 | Loss: 1314.186 | lengthscale: 6.727 | outputscale: 1.140 | noise: 0.169
Iter 140 | Loss: 1151.698 | lengthscale: 8.336 | outputscale: 1.063 | noise: 0.153
Iter 150 | Loss:  995.677 | lengthscale: 10.214 | outputscale: 0.989 | noise: 0.154
Iter 160 | Loss:  866.601 | lengthscale: 12.242 | outputscale: 0.932 | noise: 0.185
Iter 170 | Loss:  761.578 | lengthscale: 14.344 | outputscale: 0.890 | noise: 0.231
Iter 180 | Loss:  676.475 | lengthscale: 16.594 | outputscale: 0.854 | noise: 0.258
Iter 190 | Loss:  604.716 | lengthscale: 18.983 | outputscale: 0.822 | noise: 0.256
Iter 200 | Loss:  548.073 | lengthscale: 21.423 | outputscale: 0.798 | noise: 0.264
Iter 210 | Loss:  503.803 | lengthscale: 23.862 | outputscale: 0.781 | noise: 0.269
Iter 220 | Loss:  468.661 | lengthscale: 26.281 | outputscale: 0.767 | noise: 0.270
Iter 230 | Loss:  440.170 | lengthscale: 28.673 | outputscale: 0.757 | noise: 0.274
Iter 240 | Loss:  416.444 | lengthscale: 31.050 | outputscale: 0.749 | noise: 0.275
Iter 250 | Loss:  396.163 | lengthscale: 33.426 | outputscale: 0.743 | noise: 0.277
Iter 260 | Loss:  378.528 | lengthscale: 35.814 | outputscale: 0.737 | noise: 0.278
Iter 270 | Loss:  363.085 | lengthscale: 38.218 | outputscale: 0.732 | noise: 0.278
