Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on CrazySin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: 17078.988 | lengthscale: 0.990 | outputscale: 1.010 | noise: 0.202
Iter  10 | Loss: 13775.090 | lengthscale: 0.894 | outputscale: 1.118 | noise: 0.223
Iter  20 | Loss: 11085.017 | lengthscale: 0.804 | outputscale: 1.244 | noise: 0.245
Iter  30 | Loss: 8704.374 | lengthscale: 0.714 | outputscale: 1.396 | noise: 0.267
Iter  40 | Loss: 5735.556 | lengthscale: 0.622 | outputscale: 1.596 | noise: 0.287
Iter  50 | Loss: 3690.218 | lengthscale: 0.544 | outputscale: 1.822 | noise: 0.302
Iter  60 | Loss: 2777.149 | lengthscale: 0.491 | outputscale: 2.018 | noise: 0.314
Iter  70 | Loss: 1660.369 | lengthscale: 0.443 | outputscale: 2.212 | noise: 0.323
Iter  80 | Loss:  406.443 | lengthscale: 0.395 | outputscale: 2.449 | noise: 0.326
Iter  90 | Loss:   26.912 | lengthscale: 0.364 | outputscale: 2.652 | noise: 0.326
Iter 100 | Loss:  -61.118 | lengthscale: 0.347 | outputscale: 2.780 | noise: 0.324
Iter 110 | Loss:  -96.919 | lengthscale: 0.339 | outputscale: 2.857 | noise: 0.322
Iter 120 | Loss: -120.286 | lengthscale: 0.334 | outputscale: 2.907 | noise: 0.319
Iter 130 | Loss: -139.858 | lengthscale: 0.330 | outputscale: 2.943 | noise: 0.315
Iter 140 | Loss: -158.125 | lengthscale: 0.328 | outputscale: 2.973 | noise: 0.312
Iter 150 | Loss: -175.954 | lengthscale: 0.326 | outputscale: 2.999 | noise: 0.309
Iter 160 | Loss: -193.675 | lengthscale: 0.324 | outputscale: 3.023 | noise: 0.305
Iter 170 | Loss: -211.448 | lengthscale: 0.322 | outputscale: 3.045 | noise: 0.301
Iter 180 | Loss: -229.341 | lengthscale: 0.320 | outputscale: 3.065 | noise: 0.298
Iter 190 | Loss: -247.402 | lengthscale: 0.319 | outputscale: 3.085 | noise: 0.294
Iter 200 | Loss: -265.646 | lengthscale: 0.317 | outputscale: 3.103 | noise: 0.290
Iter 210 | Loss: -284.088 | lengthscale: 0.316 | outputscale: 3.120 | noise: 0.286
Iter 220 | Loss: -302.729 | lengthscale: 0.315 | outputscale: 3.137 | noise: 0.283
Iter 230 | Loss: -321.581 | lengthscale: 0.313 | outputscale: 3.152 | noise: 0.279
Iter 240 | Loss: -340.626 | lengthscale: 0.312 | outputscale: 3.167 | noise: 0.275
Iter 250 | Loss: -359.872 | lengthscale: 0.311 | outputscale: 3.181 | noise: 0.271
Iter 260 | Loss: -379.307 | lengthscale: 0.310 | outputscale: 3.194 | noise: 0.267
Iter 270 | Loss: -398.926 | lengthscale: 0.309 | outputscale: 3.206 | noise: 0.263
Iter 280 | Loss: -418.706 | lengthscale: 0.308 | outputscale: 3.218 | noise: 0.259
Iter 290 | Loss: -438.639 | lengthscale: 0.307 | outputscale: 3.230 | noise: 0.255
Iter 300 | Loss: -458.714 | lengthscale: 0.307 | outputscale: 3.240 | noise: 0.251
