Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Friedman with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: 2738.027 | lengthscale: 1.010 | outputscale: 1.010 | noise: 0.202
Iter  10 | Loss: 2641.969 | lengthscale: 1.115 | outputscale: 1.113 | noise: 0.223
Iter  20 | Loss: 2593.506 | lengthscale: 1.230 | outputscale: 1.211 | noise: 0.242
Iter  30 | Loss: 2574.602 | lengthscale: 1.358 | outputscale: 1.287 | noise: 0.257
Iter  40 | Loss: 2566.775 | lengthscale: 1.509 | outputscale: 1.331 | noise: 0.265
Iter  50 | Loss: 2558.467 | lengthscale: 1.697 | outputscale: 1.345 | noise: 0.266
Iter  60 | Loss: 2544.345 | lengthscale: 1.939 | outputscale: 1.339 | noise: 0.262
Iter  70 | Loss: 2520.434 | lengthscale: 2.256 | outputscale: 1.322 | noise: 0.255
Iter  80 | Loss: 2480.138 | lengthscale: 2.672 | outputscale: 1.301 | noise: 0.246
Iter  90 | Loss: 2412.584 | lengthscale: 3.215 | outputscale: 1.275 | noise: 0.233
Iter 100 | Loss: 2304.265 | lengthscale: 3.915 | outputscale: 1.239 | noise: 0.216
Iter 110 | Loss: 2145.572 | lengthscale: 4.803 | outputscale: 1.186 | noise: 0.195
Iter 120 | Loss: 1940.099 | lengthscale: 5.902 | outputscale: 1.118 | noise: 0.174
Iter 130 | Loss: 1715.618 | lengthscale: 7.219 | outputscale: 1.042 | noise: 0.159
Iter 140 | Loss: 1517.946 | lengthscale: 8.702 | outputscale: 0.977 | noise: 0.168
Iter 150 | Loss: 1339.018 | lengthscale: 10.281 | outputscale: 0.928 | noise: 0.208
Iter 160 | Loss: 1173.488 | lengthscale: 12.012 | outputscale: 0.885 | noise: 0.257
Iter 170 | Loss: 1041.378 | lengthscale: 13.904 | outputscale: 0.844 | noise: 0.274
Iter 180 | Loss:  935.716 | lengthscale: 15.870 | outputscale: 0.810 | noise: 0.268
Iter 190 | Loss:  854.755 | lengthscale: 17.837 | outputscale: 0.786 | noise: 0.277
Iter 200 | Loss:  791.831 | lengthscale: 19.788 | outputscale: 0.769 | noise: 0.282
Iter 210 | Loss:  741.829 | lengthscale: 21.716 | outputscale: 0.756 | noise: 0.282
Iter 220 | Loss:  701.326 | lengthscale: 23.617 | outputscale: 0.747 | noise: 0.286
Iter 230 | Loss:  667.630 | lengthscale: 25.501 | outputscale: 0.740 | noise: 0.287
Iter 240 | Loss:  638.760 | lengthscale: 27.382 | outputscale: 0.734 | noise: 0.288
Iter 250 | Loss:  613.437 | lengthscale: 29.275 | outputscale: 0.729 | noise: 0.289
Iter 260 | Loss:  590.915 | lengthscale: 31.190 | outputscale: 0.725 | noise: 0.290
Iter 270 | Loss:  570.779 | lengthscale: 33.127 | outputscale: 0.721 | noise: 0.291
Iter 280 | Loss:  552.771 | lengthscale: 35.085 | outputscale: 0.718 | noise: 0.291
Iter 290 | Loss:  536.676 | lengthscale: 37.058 | outputscale: 0.715 | noise: 0.291
Iter 300 | Loss:  522.277 | lengthscale: 39.040 | outputscale: 0.712 | noise: 0.292
Iter 310 | Loss:  509.353 | lengthscale: 41.030 | outputscale: 0.710 | noise: 0.292
Iter 320 | Loss:  497.682 | lengthscale: 43.028 | outputscale: 0.708 | noise: 0.292
Iter 330 | Loss:  487.067 | lengthscale: 45.037 | outputscale: 0.706 | noise: 0.292
Iter 340 | Loss:  477.367 | lengthscale: 47.058 | outputscale: 0.705 | noise: 0.292
Iter 350 | Loss:  468.500 | lengthscale: 49.089 | outputscale: 0.703 | noise: 0.292
Iter 360 | Loss:  460.422 | lengthscale: 51.127 | outputscale: 0.703 | noise: 0.292
Iter 370 | Loss:  453.091 | lengthscale: 53.162 | outputscale: 0.702 | noise: 0.292
Iter 380 | Loss:  446.453 | lengthscale: 55.190 | outputscale: 0.702 | noise: 0.292
Iter 390 | Loss:  440.443 | lengthscale: 57.205 | outputscale: 0.702 | noise: 0.292
Iter 400 | Loss:  434.984 | lengthscale: 59.206 | outputscale: 0.703 | noise: 0.292
Iter 410 | Loss:  430.002 | lengthscale: 61.195 | outputscale: 0.704 | noise: 0.292
