Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on CrazySin with N=1000
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: 11883.143 | lengthscale: 0.990 | outputscale: 1.010 | noise: 0.202
Iter  10 | Loss: 9629.796 | lengthscale: 0.895 | outputscale: 1.117 | noise: 0.223
Iter  20 | Loss: 7813.467 | lengthscale: 0.805 | outputscale: 1.239 | noise: 0.245
Iter  30 | Loss: 6243.289 | lengthscale: 0.714 | outputscale: 1.389 | noise: 0.267
Iter  40 | Loss: 4277.657 | lengthscale: 0.622 | outputscale: 1.589 | noise: 0.288
Iter  50 | Loss: 2679.319 | lengthscale: 0.540 | outputscale: 1.827 | noise: 0.304
Iter  60 | Loss: 1982.968 | lengthscale: 0.483 | outputscale: 2.040 | noise: 0.316
Iter  70 | Loss: 1178.598 | lengthscale: 0.435 | outputscale: 2.249 | noise: 0.325
Iter  80 | Loss:  321.824 | lengthscale: 0.387 | outputscale: 2.498 | noise: 0.329
Iter  90 | Loss:   62.839 | lengthscale: 0.355 | outputscale: 2.709 | noise: 0.329
Iter 100 | Loss:    2.268 | lengthscale: 0.339 | outputscale: 2.843 | noise: 0.327
Iter 110 | Loss:  -21.713 | lengthscale: 0.331 | outputscale: 2.924 | noise: 0.325
Iter 120 | Loss:  -36.824 | lengthscale: 0.326 | outputscale: 2.976 | noise: 0.322
Iter 130 | Loss:  -49.183 | lengthscale: 0.322 | outputscale: 3.014 | noise: 0.319
Iter 140 | Loss:  -60.563 | lengthscale: 0.320 | outputscale: 3.044 | noise: 0.316
Iter 150 | Loss:  -71.582 | lengthscale: 0.317 | outputscale: 3.070 | noise: 0.312
Iter 160 | Loss:  -82.480 | lengthscale: 0.316 | outputscale: 3.093 | noise: 0.309
Iter 170 | Loss:  -93.370 | lengthscale: 0.314 | outputscale: 3.114 | noise: 0.306
Iter 180 | Loss: -104.308 | lengthscale: 0.312 | outputscale: 3.134 | noise: 0.302
Iter 190 | Loss: -115.327 | lengthscale: 0.311 | outputscale: 3.152 | noise: 0.299
Iter 200 | Loss: -126.439 | lengthscale: 0.309 | outputscale: 3.169 | noise: 0.295
Iter 210 | Loss: -137.659 | lengthscale: 0.308 | outputscale: 3.184 | noise: 0.291
Iter 220 | Loss: -149.000 | lengthscale: 0.307 | outputscale: 3.199 | noise: 0.288
Iter 230 | Loss: -160.451 | lengthscale: 0.306 | outputscale: 3.212 | noise: 0.284
Iter 240 | Loss: -172.026 | lengthscale: 0.305 | outputscale: 3.225 | noise: 0.280
Iter 250 | Loss: -183.713 | lengthscale: 0.304 | outputscale: 3.237 | noise: 0.277
Iter 260 | Loss: -195.512 | lengthscale: 0.303 | outputscale: 3.247 | noise: 0.273
Iter 270 | Loss: -207.418 | lengthscale: 0.302 | outputscale: 3.257 | noise: 0.269
Iter 280 | Loss: -219.433 | lengthscale: 0.301 | outputscale: 3.267 | noise: 0.265
Iter 290 | Loss: -231.542 | lengthscale: 0.300 | outputscale: 3.275 | noise: 0.261
Iter 300 | Loss: -243.738 | lengthscale: 0.299 | outputscale: 3.283 | noise: 0.258
Iter 310 | Loss: -256.014 | lengthscale: 0.299 | outputscale: 3.290 | noise: 0.254
Iter 320 | Loss: -268.364 | lengthscale: 0.298 | outputscale: 3.296 | noise: 0.250
Iter 330 | Loss: -280.777 | lengthscale: 0.297 | outputscale: 3.302 | noise: 0.246
Iter 340 | Loss: -293.241 | lengthscale: 0.297 | outputscale: 3.307 | noise: 0.243
Iter 350 | Loss: -305.750 | lengthscale: 0.296 | outputscale: 3.311 | noise: 0.239
Iter 360 | Loss: -318.288 | lengthscale: 0.296 | outputscale: 3.315 | noise: 0.235
Iter 370 | Loss: -330.850 | lengthscale: 0.295 | outputscale: 3.319 | noise: 0.232
Iter 380 | Loss: -343.425 | lengthscale: 0.294 | outputscale: 3.322 | noise: 0.228
Iter 390 | Loss: -355.990 | lengthscale: 0.294 | outputscale: 3.324 | noise: 0.224
Iter 400 | Loss: -368.550 | lengthscale: 0.294 | outputscale: 3.326 | noise: 0.221
Iter 410 | Loss: -381.076 | lengthscale: 0.293 | outputscale: 3.328 | noise: 0.217
Iter 420 | Loss: -393.566 | lengthscale: 0.293 | outputscale: 3.329 | noise: 0.214
Iter 430 | Loss: -406.008 | lengthscale: 0.292 | outputscale: 3.329 | noise: 0.210
Iter 440 | Loss: -418.378 | lengthscale: 0.292 | outputscale: 3.330 | noise: 0.207
Iter 450 | Loss: -430.674 | lengthscale: 0.291 | outputscale: 3.330 | noise: 0.203
Iter 460 | Loss: -442.872 | lengthscale: 0.291 | outputscale: 3.329 | noise: 0.200
Iter 470 | Loss: -454.969 | lengthscale: 0.291 | outputscale: 3.328 | noise: 0.197
Iter 480 | Loss: -466.952 | lengthscale: 0.290 | outputscale: 3.327 | noise: 0.193
Iter 490 | Loss: -478.789 | lengthscale: 0.290 | outputscale: 3.326 | noise: 0.190
Iter 500 | Loss: -490.492 | lengthscale: 0.290 | outputscale: 3.324 | noise: 0.187
Iter 510 | Loss: -502.026 | lengthscale: 0.290 | outputscale: 3.322 | noise: 0.184
Iter 520 | Loss: -513.396 | lengthscale: 0.289 | outputscale: 3.320 | noise: 0.181
Iter 530 | Loss: -524.574 | lengthscale: 0.289 | outputscale: 3.317 | noise: 0.178
Iter 540 | Loss: -535.547 | lengthscale: 0.289 | outputscale: 3.314 | noise: 0.175
Iter 550 | Loss: -546.301 | lengthscale: 0.289 | outputscale: 3.311 | noise: 0.172
Iter 560 | Loss: -556.841 | lengthscale: 0.288 | outputscale: 3.308 | noise: 0.169
Iter 570 | Loss: -567.141 | lengthscale: 0.288 | outputscale: 3.304 | noise: 0.166
Iter 580 | Loss: -577.175 | lengthscale: 0.288 | outputscale: 3.301 | noise: 0.164
Iter 590 | Loss: -586.961 | lengthscale: 0.288 | outputscale: 3.297 | noise: 0.161
