Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on CrazySin with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: 17058.158 | lengthscale: 0.990 | outputscale: 1.010 | noise: 0.202
Iter  10 | Loss: 13796.054 | lengthscale: 0.895 | outputscale: 1.117 | noise: 0.223
Iter  20 | Loss: 11131.330 | lengthscale: 0.803 | outputscale: 1.242 | noise: 0.245
Iter  30 | Loss: 8719.611 | lengthscale: 0.712 | outputscale: 1.396 | noise: 0.267
Iter  40 | Loss: 5718.535 | lengthscale: 0.619 | outputscale: 1.598 | noise: 0.287
Iter  50 | Loss: 3720.668 | lengthscale: 0.542 | outputscale: 1.823 | noise: 0.303
Iter  60 | Loss: 2845.501 | lengthscale: 0.490 | outputscale: 2.014 | noise: 0.314
Iter  70 | Loss: 1686.495 | lengthscale: 0.442 | outputscale: 2.207 | noise: 0.323
Iter  80 | Loss:  394.207 | lengthscale: 0.394 | outputscale: 2.449 | noise: 0.327
Iter  90 | Loss:   25.974 | lengthscale: 0.362 | outputscale: 2.653 | noise: 0.327
Iter 100 | Loss:  -58.023 | lengthscale: 0.346 | outputscale: 2.781 | noise: 0.325
Iter 110 | Loss:  -92.515 | lengthscale: 0.338 | outputscale: 2.857 | noise: 0.322
Iter 120 | Loss: -115.273 | lengthscale: 0.333 | outputscale: 2.907 | noise: 0.319
Iter 130 | Loss: -134.454 | lengthscale: 0.330 | outputscale: 2.943 | noise: 0.316
Iter 140 | Loss: -152.422 | lengthscale: 0.327 | outputscale: 2.973 | noise: 0.313
Iter 150 | Loss: -169.982 | lengthscale: 0.325 | outputscale: 2.999 | noise: 0.309
Iter 160 | Loss: -187.455 | lengthscale: 0.323 | outputscale: 3.022 | noise: 0.306
