Starting imports...
Importing argparse...
Importing torch...
Importing os...
Importing sngp.train and sngp.model...
Importing gaussian_process...
Importing dataset...
Importing json...
ALL IMPORTS COMPLETE!
Parsing arguments...
Arguments parsed! Running GP on Friedman with N=1500
Checking CUDA availability...
Using CPU
Making Datasets...
Making Model...
Training Gaussian Process...
Iter   0 | Loss: 2733.716 | lengthscale: 1.010 | outputscale: 1.010 | noise: 0.202
Iter  10 | Loss: 2637.810 | lengthscale: 1.116 | outputscale: 1.113 | noise: 0.223
Iter  20 | Loss: 2589.111 | lengthscale: 1.232 | outputscale: 1.211 | noise: 0.242
Iter  30 | Loss: 2569.424 | lengthscale: 1.364 | outputscale: 1.286 | noise: 0.256
Iter  40 | Loss: 2560.003 | lengthscale: 1.520 | outputscale: 1.329 | noise: 0.263
Iter  50 | Loss: 2549.088 | lengthscale: 1.712 | outputscale: 1.341 | noise: 0.262
Iter  60 | Loss: 2531.174 | lengthscale: 1.958 | outputscale: 1.333 | noise: 0.256
Iter  70 | Loss: 2502.184 | lengthscale: 2.276 | outputscale: 1.314 | noise: 0.247
Iter  80 | Loss: 2455.889 | lengthscale: 2.687 | outputscale: 1.290 | noise: 0.234
Iter  90 | Loss: 2382.827 | lengthscale: 3.219 | outputscale: 1.262 | noise: 0.218
Iter 100 | Loss: 2271.541 | lengthscale: 3.899 | outputscale: 1.225 | noise: 0.198
Iter 110 | Loss: 2112.551 | lengthscale: 4.759 | outputscale: 1.173 | noise: 0.177
Iter 120 | Loss: 1905.953 | lengthscale: 5.827 | outputscale: 1.107 | noise: 0.156
Iter 130 | Loss: 1674.245 | lengthscale: 7.116 | outputscale: 1.033 | noise: 0.141
Iter 140 | Loss: 1464.881 | lengthscale: 8.584 | outputscale: 0.968 | noise: 0.145
Iter 150 | Loss: 1289.661 | lengthscale: 10.131 | outputscale: 0.922 | noise: 0.176
Iter 160 | Loss: 1137.233 | lengthscale: 11.735 | outputscale: 0.886 | noise: 0.222
Iter 170 | Loss: 1017.651 | lengthscale: 13.447 | outputscale: 0.851 | noise: 0.255
Iter 180 | Loss:  920.535 | lengthscale: 15.246 | outputscale: 0.820 | noise: 0.258
Iter 190 | Loss:  844.953 | lengthscale: 17.059 | outputscale: 0.795 | noise: 0.262
Iter 200 | Loss:  785.190 | lengthscale: 18.855 | outputscale: 0.777 | noise: 0.272
Iter 210 | Loss:  736.410 | lengthscale: 20.647 | outputscale: 0.764 | noise: 0.275
Iter 220 | Loss:  695.280 | lengthscale: 22.446 | outputscale: 0.753 | noise: 0.278
Iter 230 | Loss:  660.040 | lengthscale: 24.258 | outputscale: 0.744 | noise: 0.280
Iter 240 | Loss:  629.544 | lengthscale: 26.086 | outputscale: 0.738 | noise: 0.281
Iter 250 | Loss:  603.032 | lengthscale: 27.926 | outputscale: 0.732 | noise: 0.283
Iter 260 | Loss:  579.977 | lengthscale: 29.774 | outputscale: 0.728 | noise: 0.284
Iter 270 | Loss:  559.905 | lengthscale: 31.623 | outputscale: 0.725 | noise: 0.284
Iter 280 | Loss:  542.329 | lengthscale: 33.470 | outputscale: 0.722 | noise: 0.285
Iter 290 | Loss:  526.763 | lengthscale: 35.316 | outputscale: 0.720 | noise: 0.286
Iter 300 | Loss:  512.778 | lengthscale: 37.169 | outputscale: 0.718 | noise: 0.286
Iter 310 | Loss:  500.053 | lengthscale: 39.037 | outputscale: 0.717 | noise: 0.287
Iter 320 | Loss:  488.402 | lengthscale: 40.925 | outputscale: 0.716 | noise: 0.287
Iter 330 | Loss:  477.741 | lengthscale: 42.830 | outputscale: 0.715 | noise: 0.287
Iter 340 | Loss:  468.022 | lengthscale: 44.747 | outputscale: 0.715 | noise: 0.287
Iter 350 | Loss:  459.182 | lengthscale: 46.671 | outputscale: 0.715 | noise: 0.287
Iter 360 | Loss:  451.137 | lengthscale: 48.596 | outputscale: 0.715 | noise: 0.288
Iter 370 | Loss:  443.789 | lengthscale: 50.523 | outputscale: 0.716 | noise: 0.288
Iter 380 | Loss:  437.045 | lengthscale: 52.452 | outputscale: 0.717 | noise: 0.288
Iter 390 | Loss:  430.828 | lengthscale: 54.384 | outputscale: 0.718 | noise: 0.288
Iter 400 | Loss:  425.079 | lengthscale: 56.322 | outputscale: 0.719 | noise: 0.288
Iter 410 | Loss:  419.748 | lengthscale: 58.264 | outputscale: 0.721 | noise: 0.288
Iter 420 | Loss:  414.796 | lengthscale: 60.212 | outputscale: 0.723 | noise: 0.288
Iter 430 | Loss:  410.189 | lengthscale: 62.163 | outputscale: 0.725 | noise: 0.288
Iter 440 | Loss:  405.898 | lengthscale: 64.118 | outputscale: 0.728 | noise: 0.288
Iter 450 | Loss:  401.899 | lengthscale: 66.075 | outputscale: 0.730 | noise: 0.288
Iter 460 | Loss:  398.176 | lengthscale: 68.033 | outputscale: 0.733 | noise: 0.288
Iter 470 | Loss:  394.711 | lengthscale: 69.987 | outputscale: 0.736 | noise: 0.288
Iter 480 | Loss:  391.486 | lengthscale: 71.937 | outputscale: 0.738 | noise: 0.288
Iter 490 | Loss:  388.480 | lengthscale: 73.882 | outputscale: 0.741 | noise: 0.288
Iter 500 | Loss:  385.667 | lengthscale: 75.822 | outputscale: 0.745 | noise: 0.288
Iter 510 | Loss:  383.024 | lengthscale: 77.760 | outputscale: 0.748 | noise: 0.289
Iter 520 | Loss:  380.526 | lengthscale: 79.701 | outputscale: 0.751 | noise: 0.289
Iter 530 | Loss:  378.153 | lengthscale: 81.648 | outputscale: 0.754 | noise: 0.289
Iter 540 | Loss:  375.885 | lengthscale: 83.605 | outputscale: 0.758 | noise: 0.289
Iter 550 | Loss:  373.714 | lengthscale: 85.576 | outputscale: 0.761 | noise: 0.289
Iter 560 | Loss:  371.632 | lengthscale: 87.561 | outputscale: 0.764 | noise: 0.289
Iter 570 | Loss:  369.634 | lengthscale: 89.561 | outputscale: 0.768 | noise: 0.289
Iter 580 | Loss:  367.719 | lengthscale: 91.574 | outputscale: 0.771 | noise: 0.289
Iter 590 | Loss:  365.885 | lengthscale: 93.599 | outputscale: 0.775 | noise: 0.289
Iter 600 | Loss:  364.130 | lengthscale: 95.633 | outputscale: 0.778 | noise: 0.289
Iter 610 | Loss:  362.453 | lengthscale: 97.675 | outputscale: 0.782 | noise: 0.289
Iter 620 | Loss:  360.848 | lengthscale: 99.724 | outputscale: 0.785 | noise: 0.289
Iter 630 | Loss:  359.311 | lengthscale: 101.781 | outputscale: 0.789 | noise: 0.289
Iter 640 | Loss:  357.835 | lengthscale: 103.846 | outputscale: 0.792 | noise: 0.289
Iter 650 | Loss:  356.415 | lengthscale: 105.923 | outputscale: 0.796 | noise: 0.289
Iter 660 | Loss:  355.044 | lengthscale: 108.011 | outputscale: 0.800 | noise: 0.289
Iter 670 | Loss:  353.722 | lengthscale: 110.115 | outputscale: 0.803 | noise: 0.289
Iter 680 | Loss:  352.439 | lengthscale: 112.234 | outputscale: 0.807 | noise: 0.289
Iter 690 | Loss:  351.196 | lengthscale: 114.371 | outputscale: 0.810 | noise: 0.289
Iter 700 | Loss:  349.994 | lengthscale: 116.523 | outputscale: 0.814 | noise: 0.289
Iter 710 | Loss:  348.829 | lengthscale: 118.691 | outputscale: 0.817 | noise: 0.289
Iter 720 | Loss:  347.703 | lengthscale: 120.873 | outputscale: 0.821 | noise: 0.289
Iter 730 | Loss:  346.615 | lengthscale: 123.066 | outputscale: 0.824 | noise: 0.289
Iter 740 | Loss:  345.567 | lengthscale: 125.269 | outputscale: 0.828 | noise: 0.290
Iter 750 | Loss:  344.558 | lengthscale: 127.478 | outputscale: 0.831 | noise: 0.290
Iter 760 | Loss:  343.588 | lengthscale: 129.691 | outputscale: 0.835 | noise: 0.290
Iter 770 | Loss:  342.658 | lengthscale: 131.907 | outputscale: 0.839 | noise: 0.290
Iter 780 | Loss:  341.764 | lengthscale: 134.123 | outputscale: 0.842 | noise: 0.290
Iter 790 | Loss:  340.908 | lengthscale: 136.339 | outputscale: 0.846 | noise: 0.290
Iter 800 | Loss:  340.085 | lengthscale: 138.553 | outputscale: 0.850 | noise: 0.290
Iter 810 | Loss:  339.294 | lengthscale: 140.766 | outputscale: 0.853 | noise: 0.290
Iter 820 | Loss:  338.536 | lengthscale: 142.979 | outputscale: 0.857 | noise: 0.290
